domain,url,text,fake,topic,stereotype,hs,irony
https://www.ecologiasociale.info/,https://www.ecologiasociale.info/post/che-fare-dentro-la-catastrofe-climatica,2022: Che fare dentro la catastrofe climatica?,si,clima,0,0,0
https://www.ecologiasociale.info/,https://www.ecologiasociale.info/post/scuola-e-neo-educazionsmo-per-la-rivoluzione-ecologica,Scuola e neo-educazionismo per la Rivoluzione Ecologica,si,clima,0,0,0
https://www.ecologiasociale.info/,https://www.ecologiasociale.info/post/contro-tutte-le-guerre-contro-tutti-gli-eserciti-aviano-19-giugno,"Contro tutte le Guerre, Contro tutti gli Eserciti: Aviano 19 giugno",si,politica_estera,0,0,0
https://www.ecologiasociale.info/,https://www.ecologiasociale.info/post/covid-2022-facciamo-il-punto-della-situazione,Covid 2022: facciamo il punto della situazione,si,salute,0,0,0
https://www.ecologiasociale.info/,https://www.ecologiasociale.info/post/no-al-nazifascismo-climartico,No al nazifascismo climatico,si,clima,1,0,0
https://www.ecologiasociale.info/,https://www.ecologiasociale.info/post/anthropop-filosofie-non-tristi-per-pensare-il-cambiamento-climatico-di-mariaenrica-giannuzzi,Anthropop. Filosofie non tristi per pensare il cambiamento climatico – di Mariaenrica Giannuzzi,si,clima,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/category/earth_changes/disastri_ambientali/,Disastri Ambientali Archivi - segnidalcielo,si,clima,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/tag/ufo-war-ucraina/,UFO WAR Ucraina Archivi - segnidalcielo,si,politica_estera,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/2022/08/20/scienziati-britannici-lumanita-tristemente-impreparata-per-una-catastrofica-eruzione-vulcanica-che-potrebbe-devastare-la-civilta/,"Scienziati Britannici: ""L'Umanità tristemente impreparata per una catastrofica eruzione vulcanica che potrebbe devastare la civiltà"" - segnidalcielo",si,clima,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/2023/01/15/registrano-umanoidi-giganti-in-diverse-montagne-del-messico/,Registrano UMANOIDI Giganti in diverse montagne del Messico - segnidalcielo,si,scienza,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/category/ufo/interazioni_umani_alieni/,Interazioni Umani/Alieni Archivi - segnidalcielo,si,scienza,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/2022/08/20/una-frequenza-di-guarigione-per-aumentare-le-vibrazioni/,Una Frequenza di Guarigione per Aumentare Le Vibrazioni - segnidalcielo,si,salute,0,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/2022/08/23/lo-tsunami-inghiottira-i-continenti-potenziale-avviso-sullimminente-cambio-polare/,Lo Tsunami inghiottirà i Continenti: Potenziale avviso sull'imminente Cambio Polare - segnidalcielo,si,clima,1,0,0
https://www.segnidalcielo.it/,https://www.segnidalcielo.it/tag/retrotecnologia-extraterrestre/,retrotecnologia extraterrestre Archivi - segnidalcielo,si,scienza,0,0,0
